time,v2v_conflict,ai_conflict,fused_conflict,ai_prediction_available,v2v_prediction_available,ai_predicted_x,ai_predicted_y,ttc,risk_state,vehicle_a_action
0.00,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.03,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.07,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.10,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.13,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.17,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.20,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.23,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.27,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.30,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.33,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.37,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.40,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.43,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.47,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.50,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.53,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.57,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.60,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.63,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.67,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.70,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.73,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.77,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.80,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.83,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.87,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.90,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.93,False,False,False,False,False,,,inf,NONE,Monitor cautiously
0.97,False,False,False,True,False,230.368,3.972,inf,NONE,Monitor cautiously
1.00,False,False,False,True,False,230.034,3.972,inf,NONE,Monitor cautiously
1.03,False,False,False,True,False,229.700,3.973,inf,NONE,Monitor cautiously
1.07,False,False,False,True,False,229.366,3.973,inf,NONE,Monitor cautiously
1.10,False,False,False,True,False,229.033,3.973,inf,NONE,Monitor cautiously
1.13,False,False,False,True,False,228.700,3.973,inf,NONE,Monitor cautiously
1.17,False,False,False,True,False,228.368,3.974,inf,NONE,Monitor cautiously
1.20,False,False,False,True,False,228.036,3.974,inf,NONE,Monitor cautiously
1.23,False,False,False,True,False,227.704,3.974,inf,NONE,Monitor cautiously
1.27,False,False,False,True,False,227.372,3.975,inf,NONE,Monitor cautiously
1.30,False,False,False,True,False,227.041,3.975,inf,NONE,Monitor cautiously
1.33,False,False,False,True,False,226.710,3.975,inf,NONE,Monitor cautiously
1.37,False,False,False,True,False,226.379,3.976,inf,NONE,Monitor cautiously
1.40,False,False,False,True,False,226.048,3.976,inf,NONE,Monitor cautiously
1.43,False,False,False,True,False,225.717,3.976,inf,NONE,Monitor cautiously
1.47,False,False,False,True,False,225.387,3.977,inf,NONE,Monitor cautiously
1.50,False,False,False,True,False,225.056,3.977,inf,NONE,Monitor cautiously
1.53,False,False,False,True,False,224.726,3.977,inf,NONE,Monitor cautiously
1.57,False,False,False,True,False,224.396,3.978,inf,NONE,Monitor cautiously
1.60,False,False,False,True,False,224.065,3.978,inf,NONE,Monitor cautiously
1.63,False,False,False,True,False,223.735,3.978,inf,NONE,Monitor cautiously
1.67,False,False,False,True,False,223.405,3.979,inf,NONE,Monitor cautiously
1.70,False,False,False,True,False,223.075,3.979,inf,NONE,Monitor cautiously
1.73,False,False,False,True,False,222.745,3.979,inf,NONE,Monitor cautiously
1.77,False,False,False,True,False,222.415,3.980,inf,NONE,Monitor cautiously
1.80,False,False,False,True,False,222.084,3.980,inf,NONE,Monitor cautiously
1.83,False,False,False,True,False,221.754,3.980,inf,NONE,Monitor cautiously
1.87,False,False,False,True,False,221.424,3.980,inf,NONE,Monitor cautiously
1.90,False,False,False,True,False,221.093,3.981,inf,NONE,Monitor cautiously
1.93,False,False,False,True,False,220.762,3.981,inf,NONE,Monitor cautiously
1.97,False,False,False,True,False,220.431,3.981,inf,NONE,Monitor cautiously
2.00,False,False,False,True,False,220.100,3.981,inf,NONE,Monitor cautiously
2.03,False,False,False,True,False,219.769,3.981,inf,NONE,Monitor cautiously
2.07,False,False,False,True,False,219.438,3.981,inf,NONE,Monitor cautiously
2.10,False,False,False,True,False,219.106,3.981,inf,NONE,Monitor cautiously
2.13,False,False,False,True,False,218.775,3.981,inf,NONE,Monitor cautiously
2.17,False,False,False,True,False,218.443,3.982,inf,NONE,Monitor cautiously
2.20,False,False,False,True,False,218.111,3.982,inf,NONE,Monitor cautiously
