timestamp,vehicle_A_position,vehicle_A_speed,vehicle_B_position,vehicle_B_speed,vehicle_C_position,vehicle_C_speed,local_detected,v2v_received,ttc,risk_level,decision
0.00,0.00,28.00,45.00,28.00,90.00,5.00,B,True,3.91 s,WARNING,BRAKING
0.03,0.92,27.92,45.93,28.00,90.17,5.00,B,True,3.89 s,WARNING,BRAKING
0.07,1.85,27.83,46.87,28.00,90.33,5.00,B,True,3.86 s,WARNING,BRAKING
0.10,2.77,27.75,47.80,28.00,90.50,5.00,B,True,3.86 s,WARNING,BRAKING
0.13,3.69,27.67,48.73,28.00,90.67,5.00,B,True,3.83 s,WARNING,BRAKING
0.17,4.61,27.58,49.67,28.00,90.83,5.00,B,True,3.80 s,WARNING,BRAKING
0.20,5.52,27.50,50.60,28.00,91.00,5.00,B,True,3.78 s,WARNING,BRAKING
0.23,6.43,27.42,51.53,28.00,91.17,5.00,B,True,3.78 s,WARNING,BRAKING
0.27,7.34,27.33,52.47,28.00,91.33,5.00,B,True,3.75 s,WARNING,BRAKING
0.30,8.25,27.25,53.40,28.00,91.50,5.00,B,True,3.73 s,WARNING,BRAKING
0.33,9.15,27.17,54.33,28.00,91.67,5.00,B,True,3.72 s,WARNING,BRAKING
0.37,10.06,27.08,55.27,28.00,91.83,5.00,B,True,3.70 s,WARNING,BRAKING
0.40,10.96,27.00,56.20,28.00,92.00,5.00,B,True,3.67 s,WARNING,BRAKING
0.43,11.85,26.92,57.13,28.00,92.17,5.00,B,True,3.64 s,WARNING,BRAKING
0.47,12.75,26.83,58.07,28.00,92.33,5.00,B,True,3.65 s,WARNING,BRAKING
0.50,13.64,26.75,59.00,28.00,92.50,5.00,B,True,3.62 s,WARNING,BRAKING
0.53,14.53,26.67,59.93,28.00,92.67,5.00,B,True,3.59 s,WARNING,BRAKING
0.57,15.41,26.58,60.87,28.00,92.83,5.00,B,True,3.59 s,WARNING,BRAKING
0.60,16.29,26.50,61.80,28.00,93.00,5.00,B,True,3.56 s,WARNING,BRAKING
0.63,17.17,26.42,62.73,28.00,93.17,5.00,B,True,3.53 s,WARNING,BRAKING
0.67,18.05,26.33,63.67,28.00,93.33,5.00,B,True,3.51 s,WARNING,BRAKING
0.70,18.93,26.25,64.60,28.00,93.50,5.00,B,True,3.51 s,WARNING,BRAKING
0.73,19.80,26.17,65.53,28.00,93.67,5.00,B,True,3.48 s,WARNING,BRAKING
0.77,20.67,26.08,66.47,28.00,93.83,5.00,B,True,3.45 s,WARNING,BRAKING
0.80,21.53,26.00,67.40,28.00,94.00,5.00,B,True,3.43 s,WARNING,BRAKING
0.83,22.40,25.92,68.33,28.00,94.17,5.00,B,True,3.43 s,WARNING,BRAKING
0.87,23.26,25.83,69.27,28.00,94.33,5.00,B,True,3.40 s,WARNING,BRAKING
0.90,24.12,25.75,70.20,28.00,94.50,5.00,B,True,3.38 s,WARNING,BRAKING
0.93,24.97,25.67,71.13,28.00,94.67,5.00,B,True,3.35 s,WARNING,BRAKING
0.97,25.83,25.58,72.07,28.00,94.83,5.00,B,True,3.35 s,WARNING,BRAKING
1.00,26.68,25.50,73.00,28.00,95.00,5.00,B,True,3.32 s,WARNING,BRAKING
1.03,27.53,25.42,73.93,28.00,95.17,5.00,B,True,3.30 s,WARNING,BRAKING
1.07,28.37,25.33,74.87,28.00,95.33,5.00,B,True,3.29 s,WARNING,BRAKING
